"","PDC016_MTG_P3WH10_001","PDC016_SSC_P4WA1_001","PDC026_MTG_P4WA3_001","PDC026_SSC_P4WA4_001","A019s12_MTG_P2WD10_001","A019s12_SSC_P2WE1_001","A319s11_MTG_P3WE2_001","A319s11_SSC_P3WE3_001","DPM13s19_MTG_P3WF9_001","DPM13s19_SSC_P3WF10_001","20130400_MTG_P1WH9_001","20130400_SSC_P1WH10_001","A048s13_MTG_P2WE9_001","A048s13_SSC_P2WE10_001","A064s13_MTG_P2WF8_001","A064s13_SSC_P2WF9_001","A301s10_MTG_P3WD9_001","A301s10_SSC_P3WD10_001","A127s11_MTG_P2WH3_001","A127s11_SSC_P2WH4_001","A053s11_MTG_P2WF5_001","A053s11_SSC_P2WF6_001","DPM13s42_MTG_P3WG2_001","DPM13s42_SSC_P3WG3_001","20131157_MTG_P2WA3_001","20131157_SSC_P2WA4_001","A051s14_MTG_P2WF2_001","A051s14_SSC_P2WF3_001","A096s14_MTG_P2WG7_001","A096s14_SSC_P2WG8_001","20141901_MTG_P2WA6_001","20141901_SSC_P2WA7_001","BC454s945_MTG_P3WF6_001","BC454s945_SSC_P3WF7_001","A282s14_MTG_P3WD4_001","A282s14_SSC_P3WD5_001","A402s14_MTG_P3WF1_001","A402s14_SSC_P3WF2_001","19920001_MTG_P1WA10_001","19920001_SSC_P1WB1_001","20050033_MTG_P1WF1_001","20050033_SSC_P1WF2_001","A248s10_MTG_P3WC2_001","A248s10_SSC_P3WC3_001","A153s12_MTG_P2WH8_001","A153s12_SSC_P2WH9_001","20050102_MTG_P1WF4_001","20050102_SSC_P1WF5_001","20030099_MTG_P1WE8_001","20030099_SSC_P1WE9_001","20060093_MTG_P1WF7_001","20060093_SSC_P1WF8_001","20060099_MTG_P1WF10_001","20060099_SSC_P1WG1_001","20110272_MTG_P1WG7_001","20110272_SSC_P1WG8_001","20110476_MTG_P1WG10_001","20110476_SSC_P1WH1_001","A187s96a_MTG_P3WB4_001","A187s96a_SSC_P3WB5_001","A013s03_MTG_P2WD7_001","A013s03_SSC_P2WD8_001","A029s04_MTG_P2WE6_001","A029s04_SSC_P2WE7_001","A166s04_MTG_P3WA7_001","A166s04_SSC_P3WA8_001","A074s05a_MTG_P2WG4_001","A074s05a_SSC_P2WG5_001","A210s05a_MTG_P3WB7_001","A210s05a_SSC_P3WB8_001","A329s10_MTG_P3WE5_001","A329s10_SSC_P3WE6_001","A253s12_MTG_P3WC4_001","A253s12_SSC_P3WC6_001","A277s12_MTG_P3WD1_001","A277s12_SSC_P3WD2_001","A272s15_MTG_P3WC8_001","A272s15_SSC_P3WC9_001","A354s16_MTG_P3WE8_001","A354s16_SSC_P3WE9_001","A115s17_MTG_P2WG10_001","A115s17_SSC_P2WH1_001","A163s17_MTG_P3WA4_001","A163s17_SSC_P3WA5_001","19950136_MTG_P1WD4_001","19950136_SSC_P1WD5_001","19960052_MTG_P1WD7_001","19960052_SSC_P1WD8_001","20150975_MTG_P2WB2_001","20150975_SSC_P2WB3_001","20152915_MTG_P2WB5_001","20152915_SSC_P2WB6_001","20174902_MTG_P2WB8_001","20174902_SSC_P2WB9_001","19891053_MTG_P1WA2_001","19891053_SSC_P1WA3_001","19920194_MTG_P1WB8_001","19920194_SSC_P1WB9_001","19920200_MTG_P1WC1_001","19920200_SSC_P1WC2_001","19950030_MTG_P1WD1_001","19950030_SSC_P1WD2_001","19980098_MTG_P1WE3_001","19980098_SSC_P1WE4_001","20185945_MTG_P2WC6_001","20185945_SSC_P2WC7_001","DPM16s44_MTG_P3WG5_001","DPM16s44_SSC_P3WG6_001","20196919_MTG_P2WD1_001","20196919_SSC_P2WD2_001","20196928_MTG_P2WD4_001","20196928_SSC_P2WD5_001"
"PGP",23.1089,31.3296,23.2383,12.2676,17.4792,17.929,40.0207,57.6434,29.5001,27.3285,24.4034,19.7622,29.564,NA,32.5456,24.6612,NA,24.5915,40.9513,33.9188,24.3759,15.2674,31.4206,37.9111,18.2978,26.0274,25.8934,20.0522,20.8723,NA,27.8876,20.2276,33.1225,18.1864,32.5041,29.4612,22.3748,30.7458,28.7723,24.0895,18.1574,31.6694,25.9878,29.6863,22.7236,22.3514,17.6255,35.137,32.9873,25.0278,34.975,27.4861,32.0383,17.2654,26.3194,21.8411,30.6039,33.0865,33.5874,52.5331,32.4529,12.2673,41.7105,30.5959,8.51022,34.9349,18.8564,30.0077,31.7391,28.2439,35.8791,48.1668,33.7218,25.5234,20.3816,25.5116,42.2873,31.9279,38.2669,27.8726,NA,26.8884,28.119,18.9802,10.867,27.2261,22.6408,35.4377,14.5471,26.9109,16.0259,21.6368,36.8865,36.127,25.321,42.9971,22.5548,25.7906,26.4635,28.9564,30.4612,16.4087,45.0559,37.5354,20.5364,29.4206,36.5054,29.4279,21.7578,22.0852,20.9239,23.8433
"BTBD17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0186,NA,NA,NA,NA,NA,13.8635,13.5028,NA,NA,17.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8863,NA,NA,NA,23.5933,NA,NA,NA,NA,NA,25.8359,NA,28.8114,NA,NA,NA,NA,NA,33.2656,NA,20.2915,NA,NA,NA,NA,NA,18.2473,NA,NA,NA,NA,NA,43.8506,6.03898,NA,NA,NA,NA,21.6742,NA,NA,NA,NA,NA,18.8595,NA,NA,NA,NA,NA,9.94259,NA,NA,NA,NA,NA,30.0657,NA,22.4599,NA,26.04,NA,NA,NA,NA,NA,73.0845,NA,24.1498,8.15268,NA,NA,NA,NA,NA
"WIPF3",57.1691,NA,NA,NA,95.1985,57.6897,81.8201,32.3554,77.3407,NA,62.9174,68.8211,NA,NA,85.5537,61.2606,NA,73.4444,61.1405,39.103,98.0357,68.9909,83.5878,NA,58.8438,NA,74.1531,63.3264,67.3854,59.1891,64.199,44.6518,NA,40.3842,42.777,50.6027,60.5614,36.3064,54.3789,86.5004,118.868,33.6219,115.953,58.8989,61.4337,56.5846,58.3818,78.6936,47.0099,NA,79.3825,50.9035,65.0522,58.0191,NA,57.1635,81.2674,84.2875,NA,75.1147,55.9811,78.5035,78.6473,120.523,58.225,NA,41.7852,70.7363,NA,NA,40.9476,63.7151,70.76,72.5751,49.6406,57.9287,89.8676,66.2033,70.0614,62.4484,81.248,74.6833,41.3936,NA,34.9575,45.9328,NA,NA,NA,NA,51.4483,63.0548,NA,82.5765,63.7464,48.0867,NA,46.1647,34.5623,NA,70.8892,43.6173,58.9119,83.1692,59.9367,NA,NA,88.9583,79.0494,60.5442,NA,69.7526
"IGLON5",18.0666,22.3999,NA,14.6247,12.1435,10.6211,15.533,14.3113,NA,NA,NA,10.2975,15.9789,NA,16.5443,14.1967,8.16675,11.4608,9.15014,8.55527,10.2548,21.7657,5.32297,19.3384,12.5892,20.8584,17.9741,18.6591,10.6382,NA,26.9185,13.3816,13.8515,NA,NA,12.2324,NA,16.1901,7.55965,17.4827,11.8804,20.0858,16.6577,9.9306,10.2269,14.9203,NA,22.0167,21.512,11.2439,11.929,17.1018,19.1083,15.0017,5.62699,12.9608,10.4199,13.0381,7.85252,NA,14.2607,NA,19.8833,17.1899,NA,NA,9.40988,13.5115,16.2112,22.3913,12.3182,14.855,18.2941,11.6949,NA,10.1487,NA,16.9398,NA,NA,14.2967,18.3665,NA,15.476,NA,13.1669,17.9452,10.0544,17.0168,12.1923,17.5731,12.4263,NA,6.18856,15.5344,25.2903,NA,18.5877,8.21745,13.9562,NA,NA,20.6012,24.1849,10.5743,14.5721,NA,12.4691,13.7193,12.1061,NA,9.40041
"TUBAL3",9691.9,7253.94,7681.28,6408.89,10449,9485.89,9186.1,7478.29,8781,8863.29,7282.97,8365.18,8269.4,13098.5,9600.58,9483.65,8516.66,9495.05,10382.4,9432.14,10277.5,9565.32,9607.08,8952.96,9069.56,10454.6,8701.36,8151.86,8973.52,13058.5,9130.63,7192.61,8911.1,9172.01,8924.33,9530.98,8127.89,9175.44,8534.33,7098.79,6982.03,7821.51,9453.12,8930.45,9712.71,9587.38,8707.83,9790.96,8076.04,9157.16,7506.08,8240.31,8284.31,9262.82,9201.49,9160.97,8285.4,8447.82,8681.09,9925.3,9248.71,5316.02,6099.44,7516.13,11191.2,7435.07,9119.98,8196.87,8029.67,11627.6,8576.85,9231.89,9773.91,10532.3,8982,9836.03,10871.4,7273.9,11322.1,6703.63,8662.25,8588.66,12647.4,9840.33,9564.02,10301.4,8031.13,8490.33,10211.8,10189.8,10090.8,7744.22,8772.78,7767.93,12406.1,8441.55,9372.83,11384.6,9294.79,8983.99,10098.6,10156.3,8203.98,8600.75,8338.3,6689.76,9953.59,9425.63,5802.02,10154.9,10075.4,8693.53
"FBLL1",64.1842,42.6729,44.9641,41.8175,NA,65.7009,NA,44.7469,68.9627,NA,62.3282,NA,44.7331,NA,58.7168,55.1543,106.209,NA,59.3278,50.6913,48.8723,43.731,NA,70.9615,60.7794,53.3484,56.7003,NA,63.7589,72.9096,65.6358,61.9713,50.8169,54.1128,58.7167,61.232,66.5914,63.1252,63.9511,NA,NA,56.2666,NA,NA,55.3527,58.0136,NA,59.1026,18.3167,42.5576,47.3568,68.8095,55.1586,76.7875,60.1956,58.5074,64.6643,46.0694,NA,62.376,70.8155,59.1929,52.7897,50.4673,66.3428,NA,60.2822,71.6847,NA,34.0638,51.299,57.6747,40.2554,55.3113,62.9488,74.7315,46.9068,58.691,68.0019,70.3791,NA,55.8896,51.4228,85.6132,NA,52.3564,42.9997,NA,59.4725,44.0418,57.2026,50.8728,59.9038,54.7229,18.3252,71.5889,57.2866,63.0393,54.044,58.7893,59.1053,84.462,63.3027,NA,66.0876,50.0476,58.8999,56.943,NA,38.3576,43.8941,NA
"CASTOR2",18.9491,20.3095,12.2351,17.3983,24.693,18.7702,33.9324,16.0761,16.9506,NA,NA,16.4193,18.467,NA,20.2087,16.4941,13.0882,21.3204,18.58,NA,22.2821,15.7468,21.3492,19.7105,NA,14.6211,21.2714,12.7226,NA,16.4769,NA,17.6234,19.6082,17.2896,23.2546,19.4101,27.6547,23.9578,17.0203,NA,21.2564,10.4462,20.6265,18.2294,14.3539,15.8178,13.6667,16.2901,NA,16.9189,22.158,NA,20.2972,NA,26.2499,24.0314,13.8923,20.1009,NA,11.6949,15.4519,16.8251,20.4853,24.956,19.0044,NA,16.6502,20.4492,NA,26.1879,24.5025,15.0601,NA,NA,19.5216,16.7902,NA,16.7606,NA,18.0849,17.1153,14.0788,21.9284,NA,12.945,18.9632,9.14336,22.1204,NA,17.9713,NA,25.8964,11.4213,NA,24.3109,26.5019,13.8875,9.52831,21.203,15.0701,14.8936,24.3058,17.2679,NA,12.8922,21.89,20.6453,18.3926,NA,20.0436,13.7314,NA
"UNC119;UNC119B",20.1283,13.6618,NA,23.3282,NA,10.7998,9.99743,12.324,15.8607,20.5212,NA,13.5197,9.29209,NA,13.1157,NA,28.812,27.7687,NA,NA,15.4191,14.804,13.5693,NA,16.594,13.9032,NA,23.6346,29.8315,31.9204,22.0166,16.9048,NA,15.9718,NA,25.0145,17.4445,18.2458,17.8609,NA,5.91576,28.4133,19.3917,30.762,18.4199,21.6858,18.5431,26.6222,15.2037,NA,12.5069,11.6885,22.8855,24.0886,12.3418,21.0059,19.1227,20.9891,NA,NA,23.2147,22.8077,15.0552,NA,NA,15.4983,18.6728,10.344,NA,NA,14.196,6.12501,9.49844,29.8823,8.60717,17.9744,NA,19.9016,NA,10.1755,11.5648,10.2279,10.0261,24.4495,13.6531,15.455,12.3307,18.7921,NA,13.3035,13.804,13.0138,35.6999,NA,18.181,NA,12.0949,NA,10.8817,28.6055,23.9142,13.7797,18.8443,NA,22.0387,NA,20.4177,18.5711,18.5856,16.4449,27.4611,NA
"YJEFN3",36.1544,23.2435,25.4468,NA,30.8425,30.61,16.4498,19.2969,23.344,NA,NA,13.8819,16.723,NA,24.6397,16.2443,24.3262,32.318,33.711,20.9828,23.0508,24.829,41.6179,20.1314,24.2579,20.362,18.6006,19.8923,29.5744,NA,28.9984,22.1896,NA,NA,21.5074,16.6354,NA,16.772,26.185,27.1973,35.6873,NA,35.9782,9.37478,NA,35.8929,15.5912,NA,25.0053,17.2563,24.8229,NA,19.1926,24.5548,23.4309,NA,16.5161,NA,NA,NA,21.4645,22.1439,NA,25.0018,20.0123,NA,NA,32.5888,NA,22.6276,32.2769,NA,NA,NA,25.4,20.8375,19.7786,29.0583,28.5166,18.0094,21.7466,16.3895,28.8988,8.90631,12.2699,18.8142,15.9764,NA,45.3825,NA,28.0492,25.007,22.6156,NA,27.9367,24.3966,20.3658,13.8668,26.9624,NA,38.1549,38.4367,23.9718,14.8588,34.9227,22.468,20.3909,19.7672,NA,29.3145,34.7289,22.995
"ARHGAP32",13.6246,11.3289,9.35018,13.8905,8.61083,8.95697,14.5441,2.62903,19.3429,8.96954,11.4006,7.51469,12.6276,NA,12.0672,13.4693,8.3166,10.3058,12.8528,20.3399,13.9123,12.0459,14.6258,6.04198,17.7239,9.63645,14.1328,13.6298,11.4612,21.3798,4.94088,11.1431,15.2744,8.12426,8.84577,16.5445,16.2913,21.8502,19.5345,23.6028,16.7088,8.76548,17.4097,14.04,12.4656,14.3183,15.2221,NA,18.9674,11.0457,9.07651,13.101,13.3196,9.12555,17.0831,NA,17.1348,11.3661,7.43065,NA,18.0485,21.5934,13.95,13.6942,11.0722,NA,15.1104,11.4173,9.93739,NA,13.64,3.94894,17.8343,10.0424,9.0267,8.62994,NA,11.2507,NA,NA,12.8269,9.76632,8.63953,11.33,NA,NA,11.2683,NA,18.3959,12.3421,8.41969,12.8189,NA,NA,8.61818,8.79045,17.5283,NA,19.6581,8.44888,11.2839,NA,NA,NA,9.78279,9.01419,10.9345,NA,9.50584,22.0318,10.1789,10.725
"FAM171A2",NA,NA,18.8976,24.5831,17.7343,26.354,27.3125,NA,NA,22.922,15.7255,NA,25.3216,NA,34.709,NA,34.5497,23.4806,27.7064,NA,18.5011,20.1531,30.4374,NA,38.6198,NA,27.0452,42.3091,24.3853,NA,32.9625,26.1994,27.1608,NA,35.7556,27.5491,29.8585,NA,26.4882,40.3774,34.3545,40.8336,NA,27.2422,31.1091,39.6069,21.5136,35.9736,45.1072,31.8702,26.3522,27.301,41.2729,20.6244,21.0055,NA,21.9576,21.939,NA,27.2889,NA,22.1008,32.1519,NA,24.5463,33.057,34.021,NA,30.7389,30.8259,19.6795,NA,38.7571,36.9614,26.2067,25.3926,29.2984,30.2164,16.583,12.6652,NA,23.7887,24.743,37.8464,13.8145,NA,36.908,30.5251,38.8429,24.5269,47.6622,29.0266,34.5239,NA,38.7801,32.9446,21.2855,25.8068,33.1342,39.6601,NA,16.5577,35.3892,NA,25.0746,36.3041,23.6633,37.7895,23.2207,25.7676,51.4539,33.6778
"SNRPG;SNRPGP15",NA,32.4708,42.8386,28.5119,35.0393,29.2683,26.1657,27.9067,40.6652,27.3235,38.3466,17.5026,18.2925,NA,25.3851,23.5129,44.779,32.6084,27.211,28.4018,23.0534,30.3999,27.0311,30.1937,26.7184,41.3959,27.795,35.843,28.88,22.9412,43.0042,53.5514,26.1719,37.1059,50.1054,21.7899,32.1137,36.7048,33.1855,32.8303,NA,29.5117,26.4388,25.8622,24.8092,36.7668,37.7965,18.366,32.3932,26.3486,30.1712,48.2767,22.9191,30.6607,23.3142,29.0252,31.0786,26.3151,42.5096,34.7366,30.7527,40.3733,34.3089,32.3891,29.2982,39.5117,28.3176,35.8378,36.634,33.5138,28.4421,28.1325,17.3765,20.603,34.4629,19.7432,39.1595,30.6591,22.9591,33.0953,30.6957,34.6394,40.5792,34.8087,28.9008,25.0052,45.7743,26.9438,34.5464,28.9915,32.7847,34.3029,28.4587,NA,37.0956,36.468,31.8434,37.4009,35.1755,43.6845,26.3676,NA,36.0302,18.0313,29.0939,47.9998,25.9727,39.3767,33.0589,23.6849,20.0488,33.0523
"NUDT19",23.2207,20.6661,NA,23.6211,NA,15.675,NA,NA,28.8686,NA,NA,19.909,26.5109,NA,18.1981,NA,NA,NA,NA,22.3471,14.094,29.0825,26.7485,NA,12.1977,NA,NA,16.503,27.4811,NA,21.5523,23.7132,NA,NA,NA,NA,NA,NA,NA,28.6991,17.641,19.8975,9.7867,NA,17.2417,NA,NA,19.3855,NA,13.0186,18.9235,16.1821,16.9391,26.9605,NA,NA,NA,NA,6.29931,NA,NA,NA,23.1054,25.5955,NA,NA,14.576,16.1085,12.4449,18.5465,28.618,18.8243,NA,13.0813,12.0651,19.1422,NA,15.491,NA,NA,NA,NA,NA,NA,NA,NA,30.6735,13.642,NA,13.4773,22.5517,33.7746,NA,NA,NA,31.0098,NA,NA,NA,15.7743,20.3027,NA,13.6507,NA,10.2814,27.009,23.5019,NA,NA,10.6299,18.3831,27.0635
"EIF3C;EIF3CL",27.6104,41.8708,27.259,34.5587,34.5642,29.5254,27.4451,40.8153,25.0412,21.5758,31.4517,34.8422,30.9971,NA,32.8024,31.6655,35.2971,26.1693,24.1771,28.8834,33.3276,21.7259,26.7728,28.0726,31.3711,34.5267,29.377,27.7589,25.283,28.9638,29.0009,35.5123,26.2902,24.6064,25.5279,31.85,28.5222,28.3816,27.2707,38.5274,25.8892,29.0744,28.3827,27.9606,27.5176,26.6242,39.4746,34.1796,26.7922,23.6605,29.3336,32.6103,31.3341,39.6282,28.7001,27.012,29.8332,21.5721,22.4601,NA,35.432,31.1403,32.831,35.1214,28.9494,28.101,28.2003,33.0308,29.577,22.5479,26.1912,17.5269,30.3505,34.2777,29.9364,30.9543,21.938,28.4778,18.8098,23.5554,31.4004,32.2789,31.4248,37.155,28.8402,34.4154,31.5273,31.5549,30.7255,42.7761,33.0332,31.2768,26.8672,31.3349,29.777,28.276,24.6437,35.0859,38.138,36.4208,34.7309,27.7923,25.8438,15.8183,28.7883,39.3006,22.7172,35.516,33.5973,28.0332,13.7669,30.2858
"IGLL5",NA,35.5707,NA,NA,25.8778,28.305,25.1931,27.4422,18.2546,NA,NA,NA,NA,NA,14.898,18.7893,NA,15.5512,12.0796,NA,19.4424,NA,33.474,43.1304,24.3871,40.9057,18.9881,NA,25.3026,NA,16.2375,28.6539,21.6782,37.166,NA,23.1464,33.2724,23.4682,27.3032,49.5465,57.1876,41.8714,21.0518,NA,34.5878,36.408,NA,NA,NA,9.49136,NA,23.4549,23.8595,37.4542,NA,28.6357,35.675,32.7001,57.6011,94.2647,29.1153,33.1403,32.6834,23.4092,NA,39.1584,43.6843,NA,NA,NA,26.8882,27.0461,19.193,NA,23.8331,21.1996,NA,30.8757,24.7614,NA,37.5855,NA,NA,26.7515,15.8262,15.9563,24.3455,27.6623,40.3225,NA,45.5719,30.4725,40.3876,85.4511,17.3606,NA,NA,NA,30.1052,NA,19.125,16.9167,19.0804,NA,NA,30.2682,20.1473,38.1656,NA,27.1226,NA,18.8227
"AJM1",48.6949,39.0545,30.8163,40.8216,23.4131,42.4374,32.6471,28.685,30.4346,39.4639,34.0794,36.039,38.147,NA,34.2826,26.3907,NA,36.429,38.3248,42.2458,42.8435,39.4836,34.2037,39.1724,41.9971,37.4863,45.7808,43.1,52.5387,58.1914,39.4735,32.1701,37.4238,36.2914,34.5832,23.4495,26.0792,40.3007,47.9703,36.7257,47.2668,44.4417,33.6225,35.2805,35.5479,31.319,43.1694,36.6971,46.2248,32.7011,40.7249,40.3373,44.5521,24.7866,43.0648,41.1075,48.4509,27.9865,NA,NA,41.2514,34.3467,40.6169,48.7274,37.455,NA,35.623,31.8201,18.5714,28.009,40.5177,32.0513,32.07,39.5886,33.3279,45.2918,37.4442,35.9735,38.8451,14.2745,40.1674,42.8429,38.6346,61.9597,30.7461,22.5426,36.012,42.9378,37.6838,37.5748,37.9916,40.9905,37.4736,45.8514,19.4479,33.8036,44.2737,44.4704,35.4743,49.8086,30.28,29.3335,47.1363,NA,39.2806,37.7846,45.6908,46.0239,54.6884,43.7984,39.6108,36.5695
"MCRIP1",22.2517,26.2856,NA,26.8983,13.1741,NA,NA,NA,NA,18.7544,29.3458,NA,NA,NA,NA,10.3707,NA,NA,23.3756,19.5817,19.2527,NA,NA,NA,NA,NA,17.5459,24.6545,16.555,NA,11.7997,20.759,NA,39.9877,NA,13.7835,22.1872,23.5669,NA,NA,NA,19.9857,12.4867,NA,18.5435,NA,27.4649,NA,22.9733,35.1361,NA,NA,17.7359,21.4176,NA,22.2076,25.5652,18.8136,12.2453,NA,18.4635,26.4715,26.3681,25.0255,NA,14.3243,NA,NA,NA,NA,13.4231,23.2698,21.0383,19.8974,23.9485,7.76787,NA,22.4365,NA,17.68,21.4688,12.3418,NA,NA,NA,17.5031,NA,22.5808,NA,NA,23.0747,NA,NA,NA,NA,NA,30.4537,15.0315,12.1348,15.3571,14.9738,NA,15.1339,NA,22.7007,27.1943,19.691,NA,NA,18.951,24.1401,NA
"NACA",29.6555,53.7598,34.4605,39.3236,47.2822,54.3632,62.2144,63.6193,53.183,42.4389,44.7594,44.5301,45.3256,NA,41.7273,24.452,65.669,42.1395,49.2536,42.1074,41.3408,54.736,43.5895,47.6494,45.9531,53.7229,39.9284,43.1523,34.0714,11.9268,61.3533,55.6115,33.9261,38.4177,50.7043,60.2082,48.983,49.9548,50.1169,48.5509,26.7097,45.558,39.2603,62.7391,44.8078,41.2938,27.6784,36.1524,54.8018,49.2199,47.8721,49.618,44.9944,54.0268,42.8872,60.3025,56.933,51.7715,46.089,48.3322,37.4894,NA,65.0656,43.2738,32.7164,55.2614,55.1495,53.8857,42.0103,51.0678,41.5127,71.6232,41.8605,49.5953,34.4815,38.5358,25.9999,45.2831,34.5778,64.007,43.8679,52.7231,57.6283,47.934,26.7564,49.4997,49.8024,37.0613,40.4135,52.2837,38.6102,59.087,49.2062,55.167,51.6257,64.4723,32.3972,47.8008,49.1777,45.934,40.2067,27.5535,54.8781,38.774,47.6878,72.4128,55.6459,37.3288,29.1673,49.848,55.4314,69.858
"CNK3/IPCEF1;IPCEF1",12.5594,22.0069,NA,19.0458,15.4963,15.8285,13.9621,17.4989,9.02782,8.06437,14.3576,9.33585,NA,NA,12.528,13.8373,NA,12.3733,13.7973,16.0498,15.5952,NA,9.60367,11.0863,10.4908,12.9723,25.4415,26.8644,18.8289,7.34671,12.2161,14.0384,14.9202,NA,11.7728,21.2136,17.0129,22.2305,16.3805,14.8382,13.3076,16.3529,8.10153,NA,11.6931,15.2352,9.31005,15.7091,12.3247,11.6874,17.0021,15.3539,16.9848,18.4913,14.5975,13.3875,22.5567,NA,NA,NA,NA,NA,14.8379,17.6596,NA,NA,10.0149,13.746,NA,16.0519,NA,14.7556,16.2819,17.9457,12.0112,9.32389,NA,12.1048,NA,NA,18.1151,18.6616,NA,18.3408,NA,17.8048,NA,10.0505,12.3394,12.7251,21.4983,19.1246,NA,22.9596,12.1352,8.24775,16.3836,12.4151,18.9325,27.0954,9.39443,15.8007,21.5978,NA,15.7998,9.82641,NA,12.2425,NA,9.66759,6.42667,9.5346
"AGPS",NA,10.9649,NA,9.63011,7.23711,NA,8.6601,NA,NA,NA,NA,11.6258,NA,NA,7.1767,10.0563,10.8733,NA,NA,NA,5.57918,12.138,NA,11.9591,10.9089,NA,NA,NA,11.5384,NA,NA,10.2317,NA,NA,12.6382,NA,8.32464,6.39107,10.1321,11.7487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0608,5.97128,12.8159,NA,NA,NA,NA,NA,NA,NA,NA,10.489,20.2083,NA,15.7333,NA,8.32999,NA,NA,NA,NA,NA,NA,NA,10.9412,NA,9.52439,NA,NA,7.66484,7.27031,4.92241,NA,NA,13.1353,NA,NA,NA,NA,NA,12.4533,NA,NA,NA,11.3495,NA,NA,14.1089,NA,9.81162,5.09981,NA,NA,7.92684,8.79532,2.56355,NA,NA,NA,NA,12.821
"KIF2A",134.607,95.9862,109.276,111.841,97.396,106.692,104.86,100.908,111.275,109.871,97.4269,102.97,112.471,75.0752,120.179,116.638,111.583,112.549,113.875,113.008,121.477,104.946,122.063,112.512,119.815,107.447,103.642,116.426,122.643,123.65,105.825,111.234,98.9116,101.294,100.75,101.352,94.6409,101.977,113.685,117.022,114.336,119.694,107.51,110.498,119.119,121.431,109.882,100.005,109.435,113.406,109.361,113.169,104.723,127.525,119.77,118.524,110.537,114.271,94.7095,83.3157,120.552,90.733,107.839,110.385,109.934,92.4464,106.787,111.55,103.149,97.7953,109.854,90.9452,117.905,112.239,120.126,108.578,115.753,118.45,113.347,54.8361,124.532,100.134,103.13,82.9213,121.773,114.724,116.049,105.521,122.296,107.704,118.441,115.357,119.734,108.357,107.057,108.162,121.3,110.336,114.983,111.025,125.464,118.747,103.168,91.3165,116.154,106.897,110.862,119.968,104.59,111.263,124.976,127.375
"TK2",60.4381,82.3297,60.0454,52.2457,42.0417,54.8674,63.091,47.0347,51.4536,52.6262,65.6515,60.6558,56.6918,NA,58.6287,43.437,49.8383,46.5559,46.2711,47.4432,49.6011,53.7842,41.8069,68.2854,45.704,50.1455,59.9905,43.349,58.3985,43.4911,54.669,52.5126,56.5329,65.8526,35.196,42.3398,53.413,45.4846,50.3349,67.3574,50.6434,51.9973,48.5138,51.0411,51.0688,NA,63.3734,49.4998,54.6892,54.4388,63.2131,65.0453,62.5336,58.3877,38.0841,54.1716,54.8461,65.7688,43.2048,60.169,40.177,80.7493,57.7879,68.2057,42.9247,45.0607,66.1065,61.3124,53.3836,54.7533,56.2929,54.743,51.4252,51.5034,41.02,51.4052,41.7253,61.0797,24.6334,39.3784,69.8721,56.7341,52.0371,63.4518,63.0713,49.0171,46.9851,62.37,49.1108,44.7181,43.8524,65.9987,52.6622,40.1167,33.1246,51.9457,54.1211,49.2399,NA,59.7517,44.4091,61.5121,44.2122,45.7318,56.7828,51.6322,44.1739,44.4304,48.4903,66.4246,44.029,45.2915
"ACOT7",341.18,290.987,488.412,345.409,357.021,330.305,489.324,590.175,529.92,486.024,650.016,429.865,469.654,453.368,305.71,254.36,370.278,301.95,383.969,439.723,320.882,368.322,462.637,503.551,318.521,345.851,290.422,337.547,434.409,324.427,492.783,367.086,265.535,328.732,390.872,497.884,384.482,433.092,532.83,312.527,310.306,302.154,617.332,638.944,432.953,441.914,355.422,591.247,515.225,698.248,547.696,405.754,417.297,372.657,444.055,499.497,547.306,491.528,474.971,636.821,465.771,360.233,597.785,410.55,562.267,528.592,529.154,538.142,453.49,430.342,525.269,587.196,420.101,385.344,449.729,325.807,496.149,440.686,431.725,422.433,252.593,455.812,373.812,287.263,463.602,367.521,479.333,391.626,479.566,414.196,280.258,399.184,576.784,501.653,313.309,496.337,314.907,398.678,457.998,341.707,453.511,370.815,543.344,510.755,398.787,421.579,646.53,404.618,376.408,514.972,597.147,533.229
"MYO1C",21.9673,28.9084,19.503,27.3756,24.1497,21.1263,NA,NA,13.0864,24.1818,NA,13.4341,18.1663,NA,22.1779,17.5457,28.5204,9.1211,14.739,9.80918,17.1646,21.0908,17.6342,26.0698,22.4085,25.1439,12.2389,9.53558,21.2247,24.6512,4.57277,27.4623,18.6206,NA,NA,NA,13.624,12.9598,NA,118.442,30.4787,20.527,16.4872,11.1494,13.7413,NA,NA,NA,12.3499,21.5519,23.4286,25.6276,18.1335,20.7905,14.8568,16.6897,NA,13.8433,7.36331,NA,13.7522,15.181,17.1899,16.8517,20.8152,11.3723,24.8802,14.8979,24.5379,18.9512,10.2263,NA,33.7089,NA,27.0371,29.1185,29.4206,16.171,9.63717,NA,73.2469,25.5932,15.8419,38.9027,NA,14.8421,29.183,25.9249,23.1623,9.61855,53.113,36.6532,22.3762,30.8104,NA,NA,NA,NA,12.5027,28.5437,11.9945,NA,NA,NA,16.279,58.6747,19.8104,13.0281,36.918,13.3425,15.6224,14.3224
